"","Location","Year","Month","average_WindGustSpeed","Lat","Long","State"
"279","AliceSprings",2015,"February",42.6071428571429,-23.6983884,133.8812885,"Northern Territory"
"280","AliceSprings",2015,"January",39.9677419354839,-23.6983884,133.8812885,"Northern Territory"
"281","AliceSprings",2015,"July",33.7741935483871,-23.6983884,133.8812885,"Northern Territory"
"282","AliceSprings",2015,"June",33.6666666666667,-23.6983884,133.8812885,"Northern Territory"
"283","AliceSprings",2015,"March",41.5161290322581,-23.6983884,133.8812885,"Northern Territory"
"284","AliceSprings",2015,"May",35.5483870967742,-23.6983884,133.8812885,"Northern Territory"
"285","AliceSprings",2015,"November",43.3666666666667,-23.6983884,133.8812885,"Northern Territory"
"286","AliceSprings",2015,"October",41.8709677419355,-23.6983884,133.8812885,"Northern Territory"
"287","AliceSprings",2015,"September",38.9333333333333,-23.6983884,133.8812885,"Northern Territory"
"288","AliceSprings",2016,"April",37.3249204063478,-23.6983884,133.8812885,"Northern Territory"
"289","AliceSprings",2016,"August",39.6129032258064,-23.6983884,133.8812885,"Northern Territory"
"290","AliceSprings",2016,"December",44.1935483870968,-23.6983884,133.8812885,"Northern Territory"
"291","AliceSprings",2016,"February",45,-23.6983884,133.8812885,"Northern Territory"
"292","AliceSprings",2016,"January",40.4193548387097,-23.6983884,133.8812885,"Northern Territory"
"293","AliceSprings",2016,"July",35.2530803433169,-23.6983884,133.8812885,"Northern Territory"
"294","AliceSprings",2016,"June",32.6,-23.6983884,133.8812885,"Northern Territory"
"295","AliceSprings",2016,"March",40.3225806451613,-23.6983884,133.8812885,"Northern Territory"
"296","AliceSprings",2016,"May",31.9584151943845,-23.6983884,133.8812885,"Northern Territory"
"297","AliceSprings",2016,"November",47.4,-23.6983884,133.8812885,"Northern Territory"
"298","AliceSprings",2016,"October",41.6290725045988,-23.6983884,133.8812885,"Northern Territory"
"299","AliceSprings",2016,"September",42.6,-23.6983884,133.8812885,"Northern Territory"
"300","AliceSprings",2017,"April",36.9666666666667,-23.6983884,133.8812885,"Northern Territory"
"301","AliceSprings",2017,"February",44.5403178452647,-23.6983884,133.8812885,"Northern Territory"
"302","AliceSprings",2017,"January",39.5161290322581,-23.6983884,133.8812885,"Northern Territory"
"303","AliceSprings",2017,"June",37.0995151188597,-23.6983884,133.8812885,"Northern Territory"
