"","Location","Year","Month","average_monthly_hum","State"
"409","Bendigo","2009","December",37.63,"Victoria"
"410","Bendigo","2009","February",36.18,"Victoria"
"411","Bendigo","2009","January",28.08,"Victoria"
"412","Bendigo","2009","July",76.03,"Victoria"
"413","Bendigo","2009","June",81.64,"Victoria"
"414","Bendigo","2009","March",49.56,"Victoria"
"415","Bendigo","2009","May",60.42,"Victoria"
"416","Bendigo","2009","November",40.17,"Victoria"
"417","Bendigo","2009","October",53.52,"Victoria"
"418","Bendigo","2009","September",59.72,"Victoria"
"419","Bendigo","2010","April",62.27,"Victoria"
"420","Bendigo","2010","August",73,"Victoria"
"421","Bendigo","2010","December",54.56,"Victoria"
"422","Bendigo","2010","February",47.54,"Victoria"
"423","Bendigo","2010","January",35.81,"Victoria"
"424","Bendigo","2010","July",78.65,"Victoria"
"425","Bendigo","2010","June",77.03,"Victoria"
"426","Bendigo","2010","March",56.6,"Victoria"
"427","Bendigo","2010","May",69.15,"Victoria"
"428","Bendigo","2010","November",55.97,"Victoria"
"429","Bendigo","2010","October",59.56,"Victoria"
"430","Bendigo","2010","September",63.43,"Victoria"
"431","Bendigo","2011","August",68.81,"Victoria"
"432","Bendigo","2011","December",42.92,"Victoria"
"433","Bendigo","2011","February",63,"Victoria"
"434","Bendigo","2011","January",53.26,"Victoria"
"435","Bendigo","2011","July",74.1,"Victoria"
"436","Bendigo","2011","June",71.38,"Victoria"
"437","Bendigo","2011","March",62.89,"Victoria"
"438","Bendigo","2011","May",69.24,"Victoria"
"439","Bendigo","2011","November",52.7,"Victoria"
"440","Bendigo","2011","October",56.1,"Victoria"
"441","Bendigo","2011","September",52.72,"Victoria"
"442","Bendigo","2012","April",55.42,"Victoria"
"443","Bendigo","2012","August",70.24,"Victoria"
"444","Bendigo","2012","February",48.67,"Victoria"
"445","Bendigo","2012","January",38.53,"Victoria"
"446","Bendigo","2012","July",76.45,"Victoria"
"447","Bendigo","2012","June",72.68,"Victoria"
"448","Bendigo","2012","March",59.82,"Victoria"
"449","Bendigo","2012","May",62.82,"Victoria"
"450","Bendigo","2012","November",44.53,"Victoria"
"451","Bendigo","2012","October",53.89,"Victoria"
"452","Bendigo","2012","September",61.8,"Victoria"
"453","Bendigo","2013","April",54.88,"Victoria"
"454","Bendigo","2013","August",78.48,"Victoria"
"455","Bendigo","2013","December",43.71,"Victoria"
"456","Bendigo","2013","January",36.47,"Victoria"
"457","Bendigo","2013","July",81.92,"Victoria"
"458","Bendigo","2013","June",75.97,"Victoria"
"459","Bendigo","2013","March",50.79,"Victoria"
"460","Bendigo","2013","May",69.68,"Victoria"
"461","Bendigo","2013","November",49.3,"Victoria"
"462","Bendigo","2013","October",55.31,"Victoria"
"463","Bendigo","2013","September",65.78,"Victoria"
"464","Bendigo","2014","April",63.6,"Victoria"
"465","Bendigo","2014","August",68.66,"Victoria"
"466","Bendigo","2014","December",40.95,"Victoria"
"467","Bendigo","2014","February",39.88,"Victoria"
"468","Bendigo","2014","January",38.56,"Victoria"
"469","Bendigo","2014","July",84.32,"Victoria"
"470","Bendigo","2014","June",83.48,"Victoria"
"471","Bendigo","2014","March",54.82,"Victoria"
"472","Bendigo","2014","May",75.02,"Victoria"
"473","Bendigo","2014","November",41.88,"Victoria"
"474","Bendigo","2014","October",51.06,"Victoria"
"475","Bendigo","2014","September",59.88,"Victoria"
"476","Bendigo","2015","April",57.58,"Victoria"
"477","Bendigo","2015","August",71.16,"Victoria"
"478","Bendigo","2015","December",32.65,"Victoria"
"479","Bendigo","2015","February",47.3,"Victoria"
"480","Bendigo","2015","January",49.52,"Victoria"
"481","Bendigo","2015","July",76.03,"Victoria"
"482","Bendigo","2015","June",75.42,"Victoria"
"483","Bendigo","2015","March",51.65,"Victoria"
"484","Bendigo","2015","May",71.9,"Victoria"
"485","Bendigo","2015","November",43.87,"Victoria"
"486","Bendigo","2015","October",41.13,"Victoria"
"487","Bendigo","2015","September",56.9,"Victoria"
"488","Bendigo","2016","April",50.9,"Victoria"
"489","Bendigo","2016","August",73.56,"Victoria"
"490","Bendigo","2016","December",44.16,"Victoria"
"491","Bendigo","2016","February",42.6,"Victoria"
"492","Bendigo","2016","January",45.1,"Victoria"
"493","Bendigo","2016","July",80.87,"Victoria"
"494","Bendigo","2016","June",82.4,"Victoria"
"495","Bendigo","2016","March",48.65,"Victoria"
"496","Bendigo","2016","May",72.6,"Victoria"
"497","Bendigo","2016","November",50.03,"Victoria"
"498","Bendigo","2016","October",59.87,"Victoria"
"499","Bendigo","2016","September",72.45,"Victoria"
"500","Bendigo","2017","April",60.57,"Victoria"
"501","Bendigo","2017","February",47.89,"Victoria"
"502","Bendigo","2017","January",43.47,"Victoria"
"503","Bendigo","2017","June",77.36,"Victoria"
"504","Bendigo","2017","March",51.24,"Victoria"
"505","Bendigo","2017","May",72.45,"Victoria"
"506","Brisbane","2008","August",46.03,"Queensland"
"507","Brisbane","2008","December",56.66,"Queensland"
"508","Brisbane","2008","July",59.03,"Queensland"
"509","Brisbane","2008","November",62.38,"Queensland"
"510","Brisbane","2008","October",54.45,"Queensland"
"511","Brisbane","2008","September",60.83,"Queensland"
"512","Brisbane","2009","April",60.92,"Queensland"
"513","Brisbane","2009","August",53.23,"Queensland"
"514","Brisbane","2009","December",60.45,"Queensland"
"515","Brisbane","2009","February",63.94,"Queensland"
"516","Brisbane","2009","January",60.37,"Queensland"
"517","Brisbane","2009","July",54.69,"Queensland"
"518","Brisbane","2009","June",64.41,"Queensland"
"519","Brisbane","2009","March",60.08,"Queensland"
"520","Brisbane","2009","May",61.32,"Queensland"
"521","Brisbane","2009","November",54.75,"Queensland"
"522","Brisbane","2009","October",47.31,"Queensland"
"523","Brisbane","2009","September",46.88,"Queensland"
"524","Brisbane","2010","April",64.47,"Queensland"
"525","Brisbane","2010","August",51.63,"Queensland"
"526","Brisbane","2010","December",70.79,"Queensland"
"527","Brisbane","2010","February",64.12,"Queensland"
"528","Brisbane","2010","January",58.53,"Queensland"
"529","Brisbane","2010","July",60.73,"Queensland"
"530","Brisbane","2010","June",59.98,"Queensland"
"531","Brisbane","2010","March",66.98,"Queensland"
"532","Brisbane","2010","May",60.82,"Queensland"
"533","Brisbane","2010","November",58.92,"Queensland"
"534","Brisbane","2010","October",63.89,"Queensland"
"535","Brisbane","2010","September",61.33,"Queensland"
"536","Brisbane","2011","August",59.18,"Queensland"
"537","Brisbane","2011","December",62.85,"Queensland"
"538","Brisbane","2011","February",64.7,"Queensland"
"539","Brisbane","2011","January",65.11,"Queensland"
