"","Location","Year","Month","average_WindGustSpeed"
"309","AliceSprings",2009,"December",46.0322580645161
"310","AliceSprings",2009,"February",46.9642857142857
"311","AliceSprings",2009,"January",51.258064516129
"312","AliceSprings",2009,"July",35.5603763210557
"313","AliceSprings",2009,"June",31.8333333333333
"314","AliceSprings",2009,"March",44.1612903225806
"315","AliceSprings",2009,"May",40.274399096717
"316","AliceSprings",2009,"November",48.9333333333333
"317","AliceSprings",2009,"October",45.6451612903226
"318","AliceSprings",2009,"September",47.1666666666667
"319","AliceSprings",2010,"April",35.3
"320","AliceSprings",2010,"August",38.2903225806452
"321","AliceSprings",2010,"December",45.3372623908424
"322","AliceSprings",2010,"February",47.1428571428571
"323","AliceSprings",2010,"January",46.2258064516129
"324","AliceSprings",2010,"July",34.258064516129
"325","AliceSprings",2010,"June",33.3622350894846
"326","AliceSprings",2010,"March",37.2903225806452
"327","AliceSprings",2010,"May",34.4838709677419
"328","AliceSprings",2010,"November",46.2952621207262
"329","AliceSprings",2010,"October",39.0645161290323
"330","AliceSprings",2010,"September",40.5814803390453
"331","AliceSprings",2011,"August",36.2258064516129
"332","AliceSprings",2011,"December",45.9032258064516
"333","AliceSprings",2011,"February",46.5309310686176
"334","AliceSprings",2011,"January",48.5201704547771
"335","AliceSprings",2011,"July",37.7656012212317
"336","AliceSprings",2011,"June",33.8449992516388
"337","AliceSprings",2011,"March",42.0301520277956
"338","AliceSprings",2011,"May",33.7741935483871
"339","AliceSprings",2011,"November",41.3
"340","AliceSprings",2011,"October",44.3789321646515
"341","AliceSprings",2011,"September",43.2224298055284
"342","AliceSprings",2012,"April",39.1094570746956
"343","AliceSprings",2012,"August",37.7096774193548
"344","AliceSprings",2012,"February",44.9310344827586
"345","AliceSprings",2012,"January",50.7096774193548
"346","AliceSprings",2012,"July",38.5806451612903
"347","AliceSprings",2012,"June",35.3
"348","AliceSprings",2012,"March",38.5806451612903
"349","AliceSprings",2012,"May",37.4838709677419
"350","AliceSprings",2012,"November",45.8333333333333
"351","AliceSprings",2012,"October",43.2694189607977
"352","AliceSprings",2012,"September",40.7666666666667
"353","AliceSprings",2013,"April",39.7333333333333
"354","AliceSprings",2013,"August",35.8064516129032
"355","AliceSprings",2013,"December",44.5161290322581
"356","AliceSprings",2013,"January",48.4193548387097
"357","AliceSprings",2013,"July",35.4193548387097
"358","AliceSprings",2013,"June",32.1666666666667
"359","AliceSprings",2013,"March",42.258064516129
"360","AliceSprings",2013,"May",37.4516129032258
"361","AliceSprings",2013,"November",46.5333333333333
"362","AliceSprings",2013,"October",44.7096774193548
"363","AliceSprings",2013,"September",43.6744211407378
"364","AliceSprings",2014,"April",38.2333333333333
"365","AliceSprings",2014,"August",39.3870967741936
"366","AliceSprings",2014,"December",46.6451612903226
"367","AliceSprings",2014,"February",49.6785714285714
"368","AliceSprings",2014,"January",46.7096774193548
"369","AliceSprings",2014,"July",31.8387096774194
"370","AliceSprings",2014,"June",36.6666666666667
"371","AliceSprings",2014,"March",45.4516129032258
"372","AliceSprings",2014,"May",30
"373","AliceSprings",2014,"November",42.5666666666667
"374","AliceSprings",2014,"October",42.2258064516129
"375","AliceSprings",2014,"September",40.1
"376","AliceSprings",2015,"April",38.1333333333333
"377","AliceSprings",2015,"August",37.5806451612903
"378","AliceSprings",2015,"December",47.0645161290323
"379","AliceSprings",2015,"February",42.6071428571429
"380","AliceSprings",2015,"January",39.9677419354839
"381","AliceSprings",2015,"July",33.7741935483871
"382","AliceSprings",2015,"June",33.6666666666667
"383","AliceSprings",2015,"March",41.5161290322581
"384","AliceSprings",2015,"May",35.5483870967742
"385","AliceSprings",2015,"November",43.3666666666667
"386","AliceSprings",2015,"October",41.8709677419355
"387","AliceSprings",2015,"September",38.9333333333333
"388","AliceSprings",2016,"April",37.3249204063478
"389","AliceSprings",2016,"August",39.6129032258064
"390","AliceSprings",2016,"December",44.1935483870968
"391","AliceSprings",2016,"February",45
"392","AliceSprings",2016,"January",40.4193548387097
"393","AliceSprings",2016,"July",35.2530803433169
